name,price,link
Bernie Worrell - All The Woo In The World (Vinyle Neuf),$33.99,https://aux33tours.com/collections/nouveautes/products/ln00038937-bernie-worrell-all-the-woo-in-the-world
Curtis Mayfield - Superfly (Vinyle Neuf),$39.99,https://aux33tours.com/collections/nouveautes/products/ln00000023-curtis-mayfield-superfly
Curtis Mayfield - The Very Best Of (Vinyle Neuf),$41.99,https://aux33tours.com/collections/nouveautes/products/rs00052184-curtis-mayfield-the-very-best-of
Dominique Fils Aime - Three Little Words (Vinyle Neuf),$21.99,https://aux33tours.com/collections/nouveautes/products/rs00046401-dominique-fils-aime-three-little-words
Four Tops - Second Album (Vinyle Neuf),$36.99,https://aux33tours.com/collections/nouveautes/products/rs00058347-four-tops-second-album
Franc Moody - Into The Ether (Vinyle Neuf),$31.99,https://aux33tours.com/collections/nouveautes/products/rs00056817-franc-moody-into-the-ether
Giveon - Give Or Take (Vinyle Neuf),$27.99,https://aux33tours.com/collections/nouveautes/products/rs00057702-giveon-give-or-take
Gladys Knight And The Pips - Gladys Knight And The Pips (Vinyle Neuf),$35.99,https://aux33tours.com/collections/nouveautes/products/rs00058022-gladys-knight-and-the-pips-gladys-knight-and-the-pips
Gloria Barnes - Uptown (Vinyle Neuf),$45.99,https://aux33tours.com/collections/nouveautes/products/ln00039194-gloria-barnes-uptown
Imperials - Fast Freddie The Roller Disco King (Vinyle Neuf),$38.99,https://aux33tours.com/collections/nouveautes/products/rs00059467-imperials-fast-freddie-the-roller-disco-king
Jitwam - Honeycomb (Vinyle Neuf),$39.99,https://aux33tours.com/collections/nouveautes/products/rs00058388-jitwam-honeycomb
Leon Bridges - Good Thing (Vinyle Neuf),$24.99,https://aux33tours.com/collections/nouveautes/products/ln00041674-leon-bridges-good-thing
