name,price,link
Angel Olsen - My Woman (Vinyle Neuf),$24.99,https://aux33tours.com/collections/nouveautes/products/angel-olsen-my-woman
Beirut - Flying Club Cup (Vinyle Neuf),$21.99,https://aux33tours.com/collections/nouveautes/products/beirut-flying-club-cup
Bon Iver - 22 A Million (Vinyle Neuf),$31.99,https://aux33tours.com/collections/nouveautes/products/bon-iver-22-a-million
Bon Iver - Bon Iver (Vinyle Neuf),$24.99,https://aux33tours.com/collections/nouveautes/products/ln00010812-bon-iver-bon-iver
Bon Iver - For Emma Forever Ago (Vinyle Neuf),$24.99,https://aux33tours.com/collections/nouveautes/products/ln00002455-bon-iver-for-emma-forever-ago
Damien Rice - O (Vinyle Neuf),$42.99,https://aux33tours.com/collections/nouveautes/products/ln00042112-damien-rice-o
Fleet Foxes - Fleet Foxes + Sun Giant EP (Vinyle Neuf),$29.99,https://aux33tours.com/collections/nouveautes/products/ln00002828-fleet-foxes-fleet-foxes-sun-giant-ep
Leif Vollebekk - Twin Solitude (Vinyle Neuf),$22.99,https://aux33tours.com/collections/nouveautes/products/leif-vollebekk-twin-solitude
Sharon Van Etten - Weve Been Going About This All Wrong (2LP) (Vinyle Neuf),$39.99,https://aux33tours.com/collections/nouveautes/products/rs00058985-sharon-van-etten-weve-been-going-about-this-all-wrong-2lp
Vali - Skogslandskap (Vinyle Neuf),$41.99,https://aux33tours.com/collections/nouveautes/products/rs00059126-vali-skogslandskap
