name,price,link,genre
Pink Floyd - Animals (2018 Remix) (Vinyle Neuf),$34.99,https://aux33tours.com/products/rs00055782-pink-floyd-animals-2018-remix?_pos=1&_sid=63e9e1edd&_ss=r,Rock
Pink Floyd - Animals (2018 Remix) (Boxset) (Vinyle Neuf),$109.99,https://aux33tours.com/products/rs00055783-pink-floyd-animals-2018-remix-boxset?_pos=4&_sid=d02822793&_ss=r,Rock
Pink Floyd - Live European Radio 1968 (Vinyle Neuf),$29.99,https://aux33tours.com/products/rs00055104-pink-floyd-live-european-radio-1968?_pos=5&_sid=e81d56002&_ss=r,Rock
John Coltrane - A Love Supreme (Vinyle Neuf),$31.99,https://aux33tours.com/collections/nouveautes/products/ln00001025-john-coltrane-a-love-supreme,Jazz
Prodigy - Music For the Jilted Generation (Vinyle Neuf),$33.99,https://aux33tours.com/collections/nouveautes/products/ln00003849-prodigy-music-for-the-jilted-generation,Electronique
Metallica - Reload (Vinyle Neuf),$52.99,https://aux33tours.com/products/ln00023341-metallica-reload?_pos=1&_sid=68cc1bf4e&_ss=r,Metal
Metallica - Master Of Puppets (Vinyle Neuf),$21.99,https://aux33tours.com/products/ln00002593-metallica-master-of-puppets?_pos=3&_sid=68cc1bf4e&_ss=r,Metal
Metallica - Kill Em All (Vinyle Neuf),$23.99,https://aux33tours.com/products/metallica-kill-em-all?_pos=5&_sid=68cc1bf4e&_ss=r,Metal
Metallica - And Justice For All (Vinyle Neuf),$22.99,https://aux33tours.com/products/ln00024135-metallica-and-justice-for-all?_pos=6&_sid=68cc1bf4e&_ss=r,Metal
Metallica - Black Album (Vinyle Neuf),$26.99,https://aux33tours.com/products/metallica-black-album?_pos=7&_sid=68cc1bf4e&_ss=r,Metal
John Coltrane - Stellar Regions (Vinyle Usagé),$149.99,https://aux33tours.com/products/lp00342198-john-coltrane-stellar-regions?_pos=1&_sid=ab319f934&_ss=r,  Jazz   
John Coltrane - Giant Steps (Vinyle Neuf),$33.99,https://aux33tours.com/products/ln00006114-john-coltrane-giant-steps?_pos=2&_sid=ab319f934&_ss=r,Jazz
