name,price,link,genre,label,country,catalog,grade,sleeve,info
10cc - 100cc ,$7.99,https://aux33tours.com/collections/nouveaux-arrivages-usage/products/lp00371554-10cc-100cc,Rock,UK,Canada,UKS 53110,VG+,NM,
2 Puerto Ricans A Blackman And A Dominican - Do It Properly ,$2.99,https://aux33tours.com/collections/nouveaux-arrivages-usage/products/lp00376696-2-puerto-ricans-a-blackman-and-a-dominican-do-it-properly,Electronique,Grooveline,USA,GRL 5001,VG+,Generic,12po
4 Guaranis - Musique Folklorique d Amerique Latine ,$7.99,https://aux33tours.com/collections/nouveaux-arrivages-usage/products/lp00261564-4-guaranis-musique-folklorique-d-amerique-latine,Monde,BAM,France,LD 302,VG+,VG+,10   Relié à :  Paraguay
702 - You Dont Know (Remixes) ,$1.99,https://aux33tours.com/collections/nouveaux-arrivages-usage/products/lp00270105-702-you-dont-know-remixes,Pop,Motown,USA,MOTR 20018 1,NM,Generic,12po  Promo
ABC - The Lexicon of Love ,$7.99,https://aux33tours.com/collections/nouveaux-arrivages-usage/products/lp00102469-abc-the-lexicon-of-love,New Wave,Vertigo,Canada,VOG 1 3316,NM,VG+,
Adams House Cat - Town Burned Down ,$17.99,https://aux33tours.com/collections/nouveaux-arrivages-usage/products/lp00372864-adams-house-cat-town-burned-down,Alternatif,ATO,USA,ATO0433,NM,VG+,Vinyle Jaune Translucide / Pochette Gatefold   Relié à :  Drive By Truckers
Afrika Bambaataa / Khayan - Feel the Vibe ,$7.99,https://aux33tours.com/collections/nouveaux-arrivages-usage/products/lp00194769-afrika-bambaataa-khayan-feel-the-vibe,Rap,DFC,Italy,DFC 231,VG+,VG+,12
Al Jolson - The Legendary Al Jolson ,$5.99,https://aux33tours.com/collections/nouveaux-arrivages-usage/products/lp00372652-al-jolson-the-legendary-al-jolson,Vocal Homme,CBS,USA,P3 15528,NM,VG+,Coffret 3 LP
Alain Barriere - Mes Plus Belles Melodies ,$2.99,https://aux33tours.com/collections/nouveaux-arrivages-usage/products/lp00372083-alain-barriere-mes-plus-belles-melodies,Francophone,K Tel,Canada,KF 189,VG,NM,
Alan Parsons Project - Gaudi ,$14.99,https://aux33tours.com/collections/nouveaux-arrivages-usage/products/lp00013133-alan-parsons-project-gaudi,Rock,Arista,Canada,AL 8448,NM,NM,
Alan Stivell - A l Olympia / En Direct / Live ,$7.99,https://aux33tours.com/collections/nouveaux-arrivages-usage/products/lp00174186-alan-stivell-a-l-olympia-en-direct-live,Monde,Polydor,Canada,2424 068,NM,VG+,
Alan Vega - Saturn Strip ,$34.99,https://aux33tours.com/collections/nouveaux-arrivages-usage/products/lp00376039-alan-vega-saturn-strip,Punk,Elektra,Canada,96 02591,NM,NM,
Alaric / Atriarch - Alaric / Atriarch ,$19.99,https://aux33tours.com/collections/nouveaux-arrivages-usage/products/lp00376146-alaric-atriarch-alaric-atriarch,Metal,20 Buck Spin,USA,SPIN046,NM,NM,Split / Vinyle Noir
Alex Farhoud - (A + M)2 ,$3.99,https://aux33tours.com/collections/nouveaux-arrivages-usage/products/lp00361435-alex-farhoud-a-m2,Ambient,Audiogram,Canada,AD 10 026,VG+,VG+,
Alexander Pope - Pope ,$11.99,https://aux33tours.com/collections/nouveaux-arrivages-usage/products/lp00372296-alexander-pope-pope,Spoken Word,Argo,UK,RG 343,NM,VG+,
Alix Dobkin - Living With Lesbians ,$5.99,https://aux33tours.com/collections/nouveaux-arrivages-usage/products/lp00373017-alix-dobkin-living-with-lesbians,Folk,Womens Wax Works,USA,A002,VG+,VG,
Allan Mudada Fortune - Ready To Party ,$5.99,https://aux33tours.com/collections/nouveaux-arrivages-usage/products/lp00376041-allan-mudada-fortune-ready-to-party,Reggae,Not On Label,USA,MA 1024,VG+,NM,
Allman Brothers Band - Beginnings ,$9.99,https://aux33tours.com/collections/nouveaux-arrivages-usage/products/lp00376126-allman-brothers-band-beginnings,Rock,Atco,Canada,2SA 805,VG,VG+,2 LP / Pochette Gatefold
Alpinist / Masakari - Alpinist / Masakari ,$9.99,https://aux33tours.com/collections/nouveaux-arrivages-usage/products/lp00376139-alpinist-masakari-alpinist-masakari,Punk,AlertaAntifascista/HaloOfFlies,USA,AA73 : HALO37,VG+,NM,Split LP / Vinyle Noir
America - Harbor ,$3.99,https://aux33tours.com/collections/nouveaux-arrivages-usage/products/lp00159730-america-harbor,Rock,Warner Bros,Canada,BSK 3017,VG+,VG+,Avec Poster
America - Hideaway ,$2.99,https://aux33tours.com/collections/nouveaux-arrivages-usage/products/lp00283872-america-hideaway,Rock,Warner Bros,USA,BS 2932,VG+,VG+,
America - View from the Ground ,$3.99,https://aux33tours.com/collections/nouveaux-arrivages-usage/products/lp00376251-america-view-from-the-ground,Rock,Capitol,Canada,ST 12209,VG+,NM,
America - View from the Ground ,$5.99,https://aux33tours.com/collections/nouveaux-arrivages-usage/products/lp00009914-america-view-from-the-ground,Rock,Capitol,Canada,ST 12209,NM,NM,
Andre Gagnon - Neiges ,$3.99,https://aux33tours.com/collections/nouveaux-arrivages-usage/products/lp00256110-andre-gagnon-neiges,Instrumentale,London,Canada,SP 44252,VG+,NM,Pochette Gatefold
Andre Gagnon - Projection ,$5.99,https://aux33tours.com/collections/nouveaux-arrivages-usage/products/lp00060707-andre-gagnon-projection,Instrumentale,Columbia,Canada,FS 90159,NM,NM,Pochette Gatefold
Andrea Parro - Obsession Possession ,$29.99,https://aux33tours.com/collections/nouveaux-arrivages-usage/products/lp00372062-andrea-parro-obsession-possession,Francophone,Les A,Canada,CDM 7002,NM,VG+,12po
Anttex - Kiki Bobo ,$3.99,https://aux33tours.com/collections/nouveaux-arrivages-usage/products/lp00376702-anttex-kiki-bobo,Rap,Jerkoff City,USA,STC 01,VG,Generic,12po
Apostolis Kaldaras - Eviva Rebete ,$9.99,https://aux33tours.com/collections/nouveaux-arrivages-usage/products/lp00372335-apostolis-kaldaras-eviva-rebete,Monde,Columbia,Greece,14C 054 70902,NM,NM,
April Wine - Electric Jewels ,$24.99,https://aux33tours.com/collections/nouveaux-arrivages-usage/products/lp00376070-april-wine-electric-jewels,Rock,Aquarius,Canada,AQR 504,EX,EX,Reedition / Label Bleu
Arne Domnerus / Bengt Hallberg - Downtown Meeting ,$19.99,https://aux33tours.com/collections/nouveaux-arrivages-usage/products/lp00376195-arne-domnerus-bengt-hallberg-downtown-meeting,Jazz,Phontastic,Sweden,PHONT 7518,NM,NM,
Arnett Cobb - Live ,$9.99,https://aux33tours.com/collections/nouveaux-arrivages-usage/products/lp00376263-arnett-cobb-live,Jazz,Timeless,Netherlands,SJP 174,NM,VG+,
Artemis - Artemis ,$24.99,https://aux33tours.com/collections/nouveaux-arrivages-usage/products/lp00371397-artemis-artemis,Jazz,Blue Note,USA,6.03E+11,NM,NM,
Asgard - Tradition et Renouveau ,$29.99,https://aux33tours.com/collections/nouveaux-arrivages-usage/products/lp00198362-asgard-tradition-et-renouveau,Francophone,Warner Bros,Canada,FLP 56508,VG+,VG+,
Atentado - Dias De Rabia ,$4.99,https://aux33tours.com/collections/nouveaux-arrivages-usage/products/lp00376148-atentado-dias-de-rabia,Punk,La Vida Es Un Mus,UK,MUS 57,VG+,VG+,Avec Insert
Australian Crawl - Semantics ,$4.99,https://aux33tours.com/collections/nouveaux-arrivages-usage/products/lp00376096-australian-crawl-semantics,Rock,Geffen Records,Canada,XGHS 4028,NM,NM,
Aztec Camera - Backwards and Forwards ,$7.99,https://aux33tours.com/collections/nouveaux-arrivages-usage/products/lp00156043-aztec-camera-backwards-and-forwards,Alternatif,Sire,Canada,92 52851,NM,VG+,12
Aztec Camera - Knife ,$4.99,https://aux33tours.com/collections/nouveaux-arrivages-usage/products/lp00046149-aztec-camera-knife,Alternatif,Sire,Canada,92 51831,NM,NM,
Aztec Camera - Love ,$7.99,https://aux33tours.com/collections/nouveaux-arrivages-usage/products/lp00020858-aztec-camera-love,Alternatif,Sire,Canada,92 56461,NM,NM,
Aztec Camera - Oblivious ,$7.99,https://aux33tours.com/collections/nouveaux-arrivages-usage/products/lp00376093-aztec-camera-oblivious,Alternatif,Sire,Canada,92 02190,NM,NM,12po
Bananarama - True Confessions ,$11.99,https://aux33tours.com/collections/nouveaux-arrivages-usage/products/lp00376068-bananarama-true-confessions,Pop,London,Canada,828 013 1,NM,VG+,Avec Autocollant sur Pellicule Plastique
Barbra Streisand - Songbird ,$1.99,https://aux33tours.com/collections/nouveaux-arrivages-usage/products/lp00376040-barbra-streisand-songbird,Vocal Femme,Columbia,Canada,PC 35375,VG+,NM,
Barbra Streisand - The Main Event (Music from the Original Motion Picture Soundtrack) ,$1.99,https://aux33tours.com/collections/nouveaux-arrivages-usage/products/lp00357653-barbra-streisand-the-main-event-music-from-the-original-motion-picture-soundtrack,Vocal Femme,Columbia,Canada,JS 36115,VG+,VG+,
Beastie Boys - Licensed to Ill ,$44.99,https://aux33tours.com/collections/nouveaux-arrivages-usage/products/lp00376141-beastie-boys-licensed-to-ill,Rap,DefJam/Columbia,Canada,FC 40238,VG+,EX,Pochette Gatefold
Belouis Some - Some People / Imagination ,$3.99,https://aux33tours.com/collections/nouveaux-arrivages-usage/products/lp00372572-belouis-some-some-people-imagination,New Wave,Parlophone,UK,12 RD6099,VG+,VG+,Gatefold / 2x 12po
Benny Goodman - The Famous 1938 Carnegie Hall Jazz Concert ,$24.99,https://aux33tours.com/collections/nouveaux-arrivages-usage/products/lp00008282-benny-goodman-the-famous-1938-carnegie-hall-jazz-concert,Jazz,Columbia,USA,OSL 160,NM,NM,Coffret 2 LP / Pressage 70s
Betty Grable / Dick Powell / Carmen Miranda - Springtime in the Rockies ,$1.99,https://aux33tours.com/collections/nouveaux-arrivages-usage/products/lp00376107-betty-grable-dick-powell-carmen-miranda-springtime-in-the-rockies,Spoken Word,Pelican,USA,LP 128,VG+,NM,
Bilal - Soul Sista ,$4.99,https://aux33tours.com/collections/nouveaux-arrivages-usage/products/lp00376736-bilal-soul-sista,Funk/Soul,Interscope,USA,INTR 10216 1,NM,Generic,12po
Bill Evans - Autumn Leaves ,$54.99,https://aux33tours.com/collections/nouveaux-arrivages-usage/products/lp00375937-bill-evans-autumn-leaves,Jazz,Joker,Japan,UPS 2053 KR,VG,EX,Avec Obi
