name,price,link,genre,record_label,record_country,record_cat,record_grade,sleeve_grade,record_info
5th Dimension - Portrait (Vinyle Usagé),$3.99,https://aux33tours.com/collections/nouveaux-arrivages-usage/products/lp00098701-5th-dimension-portrait,  Funk/Soul   ,  Bell   ,  Canada   ,  BELL 6045   ,  VG+  ,  VG+ ,  Pochette Gatefold   
Alain Barriere - A Regarder la Mer (Vinyle Usagé),$3.99,https://aux33tours.com/collections/nouveaux-arrivages-usage/products/lp00223057-alain-barriere-a-regarder-la-mer,  Francophone   ,  Barclay   ,  Canada   ,  80097   ,  VG+  ,  NM ,
Anne Clark - Wallies (Vinyle Usagé),$3.99,https://aux33tours.com/collections/nouveaux-arrivages-usage/products/lp00048512-anne-clark-wallies,  New Wave   ,  Ink   ,  UK   ,  INK 1215   ,  VG+  ,  VG+ ,  12   
Bach / Kohler - The Art Of Fugue BWV 1080 Part 2 (Vinyle Usagé),$1.99,https://aux33tours.com/collections/nouveaux-arrivages-usage/products/lp00382488-bach-kohler-the-art-of-fugue-bwv-1080-part-2,  Classique   ,  Peerless   ,  UK   ,  BACH 1022 ORYX   ,  VG+  ,  VG+ ,
Bach / Leonhardt Consort - Konzerte Fur Zwei Und Vier Cembali (Vinyle Usagé),$1.99,https://aux33tours.com/collections/nouveaux-arrivages-usage/products/lp00382491-bach-leonhardt-consort-konzerte-fur-zwei-und-vier-cembali,  Classique   ,  Telefunken   ,  Germany   ,  SAWT 9424 B Telefunken   ,  VG  ,  VG+ ,
Bach / Werner - Les Grandes Cantates De JS Bach Vol 12 (Vinyle Usagé),$1.99,https://aux33tours.com/collections/nouveaux-arrivages-usage/products/lp00382490-bach-werner-les-grandes-cantates-de-js-bach-vol-12,  Classique   ,  Erato   ,  France   ,  STU 70086   ,  VG+  ,  VG+ ,
Barry White - Its Ecstasy When You Lay Down Next to Me (Vinyle Usagé),$5.99,https://aux33tours.com/collections/nouveaux-arrivages-usage/products/lp00118361-barry-white-its-ecstasy-when-you-lay-down-next-to-me,  Funk/Soul   ,  20th Century   ,  Canada   ,  3209 65   ,  VG+  ,  Generic ,  12   
Barry White - Sings For Someone You Love (Vinyle Usagé),$11.99,https://aux33tours.com/collections/nouveaux-arrivages-usage/products/lp00063297-barry-white-sings-for-someone-you-love,  Funk/Soul   ,  20th Century   ,  Canada   ,  T 543   ,  NM  ,  VG+ ,  Pochette Gatefold   
Bartok / Hindemith / Rojdestvenski / Oistrakh - Concertos pour Violon et Orchestre (Vinyle Usagé),$9.99,https://aux33tours.com/collections/nouveaux-arrivages-usage/products/lp00382527-bartok-hindemith-rojdestvenski-oistrakh-concertos-pour-violon-et-orchestre,  Classique   ,  Le Chant Du Monde   ,  France   ,  LDX 78730 Le Chant Du Monde   ,  NM  ,  NM ,
Bee Gees - Love Collection (Vinyle Usagé),$2.99,https://aux33tours.com/collections/nouveaux-arrivages-usage/products/lp00291622-bee-gees-love-collection,  Rock   ,  Juke Box   ,  Canada   ,  TVLP 76015   ,  VG+  ,  VG ,
Beethoven / Beaux Arts Trio - Piano Trio No 7 in B Flat Op 97 Archduke (Vinyle Usagé),$4.99,https://aux33tours.com/collections/nouveaux-arrivages-usage/products/lp00339324-beethoven-beaux-arts-trio-piano-trio-no-7-in-b-flat-op-97-archduke,  Classique   ,  Philips   ,  Netherlands   ,  9500 895   ,  NM  ,  VG+ ,  Pochette Gatefold   
Beethoven / Frankl - Piano Sonata Op 53 Waldstein / Op 57 Appassionata (Vinyle Usagé),$11.99,https://aux33tours.com/collections/nouveaux-arrivages-usage/products/lp00095014-beethoven-frankl-piano-sonata-op-53-waldstein-op-57-appassionata,  Classique   ,  Gale   ,  UK   ,  GMFD 1 76 005   ,  VG+  ,  NM ,  Coffret   
Beethoven / Hanover Band - Overtures Egmont / The Creatures of Prometheus / Symphony No 2 (Vinyle Usagé),$7.99,https://aux33tours.com/collections/nouveaux-arrivages-usage/products/lp00382526-beethoven-hanover-band-overtures-egmont-the-creatures-of-prometheus-symphony-no-2,  Classique   ,  Nimbus   ,  UK   ,  NIMBUS 2155   ,  NM  ,  VG+ ,
Beethoven / Leitner / Kempff - 5 Piano Concertos (Vinyle Usagé),$11.99,https://aux33tours.com/collections/nouveaux-arrivages-usage/products/lp00382513-beethoven-leitner-kempff-5-piano-concertos,  Classique   ,  Deutsche Grammophon   ,  Germany   ,  2721 066   ,  EX  ,  NM ,  Coffret 4 LP   
Berlioz / Davis - Sacred Music (Vinyle Usagé),$4.99,https://aux33tours.com/collections/nouveaux-arrivages-usage/products/lp00382508-berlioz-davis-sacred-music,  Classique   ,  Philips   ,  Netherlands   ,  6768 002   ,  VG+  ,  VG ,  Coffret 5 LP   
Biddu Orchestra - Serenade For Lovers (Vinyle Usagé),$1.99,https://aux33tours.com/collections/nouveaux-arrivages-usage/products/lp00382701-biddu-orchestra-serenade-for-lovers,  Disco   ,  Hallmark   ,  UK   ,  SHM 3054   ,  VG+  ,  VG+ ,
Bizet / Barenboim - Jeux D Enfants / Carmen Suite / L Arlesienne (Vinyle Usagé),$5.99,https://aux33tours.com/collections/nouveaux-arrivages-usage/products/lp00191614-bizet-barenboim-jeux-d-enfants-carmen-suite-l-arlesienne,  Classique   ,  EMI   ,  France   ,  2C 069 02411   ,  NM  ,  NM ,  Pochette Gatefold   
Black Marble - Its Immaterial (Vinyle Usagé),$49.99,https://aux33tours.com/collections/nouveaux-arrivages-usage/products/lp00382618-black-marble-its-immaterial,  Alternatif   ,  Ghostly International   ,  USA   ,  GI 275   ,  VG+  ,  NM ,  Vinyle Noir   
Black Paul - The King in Black Disco (Vinyle Usagé),$2.99,https://aux33tours.com/collections/nouveaux-arrivages-usage/products/lp00155985-black-paul-the-king-in-black-disco,  Disco   ,  Delphine   ,  France   ,  GT 64501   ,  VG+  ,  VG+ ,  12   
Black Soul - Black Brothers (Vinyle Usagé),$4.99,https://aux33tours.com/collections/nouveaux-arrivages-usage/products/lp00150921-black-soul-black-brothers,  Funk/Soul   ,  Beam Junction   ,  USA   ,  12 BJ 1002   ,  VG+  ,  VG ,  12   
Blood Orange - Angels Pulse (Vinyle Usagé),$24.99,https://aux33tours.com/collections/nouveaux-arrivages-usage/products/lp00382744-blood-orange-angels-pulse,  Alternatif   ,  Domino   ,  USA   ,  WIGLP460 Domino   ,  NM  ,  NM ,  Vinyle Blanc   
