name,price,link,genre
Dave Hause - Patty / Paddy,$27.99,https://aux33tours.com/collections/nouveautes/products/ln00058990-dave-hause-patty-paddy,Punk
Portico Quartet - Monument,$34.99,https://aux33tours.com/collections/nouveautes/products/rs00050981-portico-quartet-monument,Jazz
Sammy Hagar And The Circle - Space Between,$24.99,https://aux33tours.com/collections/nouveautes/products/ln00049006-sammy-hagar-and-the-circle-space-between,Rock
Martha And The Vandellas - Dance Party,$36.99,https://aux33tours.com/collections/nouveautes/products/rs00058475-martha-and-the-vandellas-dance-party,Funk/Soul
Beyonce - Renaissance,$48.99,https://aux33tours.com/collections/nouveautes/products/rs00057295-beyonce-renaissance,Pop
Brooks - Any Day Now,$26.99,https://aux33tours.com/collections/nouveautes/products/ln00056883-samhain-iii-november-coming-fire-fc,Funk/Soul
Disturbed - Divisive,$33.99,https://aux33tours.com/collections/nouveautes/products/rs00058615-disturbed-divisive,Metal
Eric Clapton - Theres One In Every Crowd,$34.99,https://aux33tours.com/collections/nouveautes/products/eric-clapton-theres-one-in-every-crowd,Rock
Piero Umiliani - L Uomo E La Citta,$47.99,https://aux33tours.com/collections/nouveautes/products/rs00051209-piero-umiliani-l-uomo-e-la-citta,Library
Moxy - Ridin High,$29.99,https://aux33tours.com/collections/nouveautes/products/rs00059106-moxy-ridin-high,Rock
Jackie McLean - Let Freedom Ring,$18.99,https://aux33tours.com/collections/nouveautes/products/ln00024143-jackie-mclean-let-freedom-ring,Jazz
Gram Parsons - Grievous Angel,$24.99,https://aux33tours.com/collections/nouveautes/products/gram-parsons-grievous-angel,Rock
Luther Johnson With Muddy Waters Blues Band - Come On Home,$19.99,https://aux33tours.com/collections/nouveautes/products/luther-johnson-with-muddy-waters-blues-band-come-on-home,Blues
Le Trouble - Making Matters Worse,$16.99,https://aux33tours.com/collections/nouveautes/products/le-trouble-making-matters-worse,Alternatif
Beatles - Dans Leur 14 Plus Grands Succes (Pic Disc) (FC),$36.99,https://aux33tours.com/collections/nouveautes/products/rs00051594-beatles-dans-leur-14-plus-grands-succes-pic-disc-fc,Rock
Soundtrack - Goldfinger,$32.99,https://aux33tours.com/collections/nouveautes/products/ln00017619-soundtrack-goldfinger,Bandes Sonores
Mastodon - Crack the Skye,$24.99,https://aux33tours.com/collections/nouveautes/products/ln00002313-mastodon-crack-the-skye,Metal
Alice Coltrane - World Spirituality Classics 1: The Ecstatic Music Of Turiya Alice Coltrane,$36.99,https://aux33tours.com/collections/nouveautes/products/alice-coltrane-world-spirituality-classics-1-the-ecstatic-music-of-turiya-alice-coltrane,Jazz
Alabaster Deplume - To Cy And Lee: Instrumentals Vol 1,$31.99,https://aux33tours.com/collections/nouveautes/products/alabaster-deplume-to-cy-and-lee-instrumentals-vol-1,Jazz
Teenage Head - Frantic City,$26.99,https://aux33tours.com/collections/nouveautes/products/rs00046446-teenage-head-frantic-city,Punk
Khruangbin - The Universe Smiles Upon You,$45.99,https://aux33tours.com/collections/nouveautes/products/khruangbin-the-universe-smiles-upon-you,Alternatif
Andrea Parro - Obsession Possession ,$29.99,https://aux33tours.com/collections/nouveaux-arrivages-usage/products/lp00372062-andrea-parro-obsession-possession,Francophone
Celine Dion - 1 Fille Et 4 Types,$32.99,https://aux33tours.com/collections/nouveautes/products/ln00037925-celine-dion-1-fille-et-4-types,Francophone
Alpinist / Masakari - Alpinist / Masakari ,$9.99,https://aux33tours.com/collections/nouveaux-arrivages-usage/products/lp00376139-alpinist-masakari-alpinist-masakari,Punk
