name,price,link,genre
A Foot In Coldwater - A Foot In Coldwater,$26.99,https://aux33tours.com/collections/nouveautes/products/rs00059089-a-foot-in-coldwater-a-foot-in-coldwater,Rock
A Foot In Coldwater - All Around Us,$26.99,https://aux33tours.com/collections/nouveautes/products/rs00059090-a-foot-in-coldwater-all-around-us,Rock
Aaron Turner / Jon Mueller - Now That Youve Found It,$27.99,https://aux33tours.com/collections/nouveautes/products/rs00057516-aaron-turner-jon-mueller-now-that-youve-found-it,Metal
AC/DC - Live At Paradise Theater In Boston 21st August 1978,$25.99,https://aux33tours.com/collections/nouveautes/products/rs00056021-acdc-live-at-paradise-theater-in-boston-21st-august-1978,Rock
Adrian Younge - The Electronique Void: Black Noise,$24.99,https://aux33tours.com/collections/nouveautes/products/adrian-younge-the-electronique-void-black-noise,Funk/Soul
Adrian Younge / Ali Shaheed Muhammad / Henry Franklin - Jazz Is Dead 014: Adrian Younge,$34.99,https://aux33tours.com/collections/nouveautes/products/rs00057520-adrian-younge-ali-shaheed-muhammad-henry-franklin-jazz-is-dead-014-adrian-younge,Funk/Soul
Adrianne Lenker - Abysskiss,$31.99,https://aux33tours.com/collections/nouveautes/products/ln00044085-adrianne-lenker-abysskiss,Alternatif
Aerosmith - Rocks,$32.99,https://aux33tours.com/collections/nouveautes/products/ln00020992-aerosmith-rocks,Rock
Aesop Rock / Homeboy Sandman - Triple Fat Lice EP,$21.99,https://aux33tours.com/collections/nouveautes/products/rs00057183-aesop-rock-homeboy-sandman-triple-fat-lice-ep,Rap
Affinity - Affinity,$37.99,https://aux33tours.com/collections/nouveautes/products/ln00048864-affinity-affinity,Psych/Prog
Agar Agar - Cardan EP,$21.99,https://aux33tours.com/collections/nouveautes/products/ln00040380-agar-agar-cardan-ep,Electronique
Agitation Free - Live 74,$39.99,https://aux33tours.com/collections/nouveautes/products/rs00055299-agitation-free-live-74,Psych/Prog
Akhenaton - Meteque Et Mat,$56.99,https://aux33tours.com/collections/nouveautes/products/ln00034871-akhenaton-meteque-et-mat,Rap
Alabaster DePlume - Gold (Indie),$49.99,https://aux33tours.com/collections/nouveautes/products/rs00052653-alabaster-deplume-gold-indie,Jazz
Alabaster Deplume - To Cy And Lee: Instrumentals Vol 1,$31.99,https://aux33tours.com/collections/nouveautes/products/alabaster-deplume-to-cy-and-lee-instrumentals-vol-1,Jazz
Alain Bashung - Osez Josephine,$31.99,https://aux33tours.com/collections/nouveautes/products/ln00006098-alain-bashung-osez-josephine,Francophone
Alan Parsons Symphonic Project - Live In Columbia,$32.99,https://aux33tours.com/collections/nouveautes/products/rs00051854-alan-parsons-symphonic-project-live-in-columbia,Rock
Alex G - Trick,$39.99,https://aux33tours.com/collections/nouveautes/products/rs00052954-alex-g-trick,Alternatif
Alhaji Waziri Oshomah - Vol 1-5 (1978-1984),$137.99,https://aux33tours.com/collections/nouveautes/products/rs00058565-alhaji-waziri-oshomah-vol-1-5-1978-1984,Monde
Alice Coltrane - World Spirituality Classics 1: The Ecstatic Music Of Turiya Alice Coltrane,$36.99,https://aux33tours.com/collections/nouveautes/products/alice-coltrane-world-spirituality-classics-1-the-ecstatic-music-of-turiya-alice-coltrane,Jazz
Alice Cooper - Alice Coopers Greatest Hits,$28.99,https://aux33tours.com/collections/nouveautes/products/ln00017998-alice-cooper-alice-coopers-greatest-hits,Rock
Alt J - The Dream,$32.99,https://aux33tours.com/collections/nouveautes/products/rs00052349-alt-j-the-dream,Alternatif
Alt J - This Is All Yours,$35.99,https://aux33tours.com/collections/nouveautes/products/ln00022810-alt-j-this-is-all-yours,Alternatif
Amon Amarth - The Great Heathen Army,$33.99,https://aux33tours.com/collections/nouveautes/products/rs00055835-amon-amarth-the-great-heathen-army,Metal
Amy Winehouse - Back To Black,$39.99,https://aux33tours.com/collections/nouveautes/products/amy-winehouse-back-to-black,Pop
Angus and Julia Stone - Angus and Julia Stone,$42.99,https://aux33tours.com/collections/nouveautes/products/ln00009148-angus-and-julia-stone-angus-and-julia-stone,Alternatif
Animal Collective - Merriweather Post Pavilion,$32.99,https://aux33tours.com/collections/nouveautes/products/ln00003959-animal-collective-merriweather-post-pavilion,Alternatif
Anouar Brahem - Barzakh,$35.99,https://aux33tours.com/collections/nouveautes/products/ln00039681-anouar-brahem-barzakh,Jazz
Anti-Flag - Die For The Government,$41.99,https://aux33tours.com/collections/nouveautes/products/ln00001615-anti-flag-die-for-the-governement,Punk
