name,price,link,genre
13th Floor Elevators - Easter Everywhere (2022) (Vinyle Neuf),$59.99,https://aux33tours.com/collections/nouveautes/products/rs00058005-13th-floor-elevators-easter-everywhere-2022,Psych/Prog
13th Floor Elevators - The Psychedelic Sounds Of The 13th Floor Elevators (2022) (Vinyle Neuf),$81.99,https://aux33tours.com/collections/nouveautes/products/rs00057873-13th-floor-elevators-the-psychedelic-sounds-of-the-13th-floor-elevators-2022,Psych/Prog
2pac - All Eyez On Me (Vinyle Neuf),$92.99,https://aux33tours.com/collections/nouveautes/products/ln00006611-2pac-all-eyez-on-me,Rap
Aa Williams - As The Moon Rests (Vinyle Neuf),$39.99,https://aux33tours.com/collections/nouveautes/products/rs00058686-aa-williams-as-the-moon-rests,Alternatif
Abba - Gold (Picture Disc) (Vinyle Neuf),$66.99,https://aux33tours.com/collections/nouveautes/products/rs00057045-abba-gold-picture-disc,Rock
AC/DC - For Those About To Rock We Salute You (Vinyle Neuf),$25.99,https://aux33tours.com/collections/nouveautes/products/ln00001696-ac-dc-for-those-about-to-rock-we-salute-you,Rock
Action Bronson - Cocodrillo Turbo (Vinyle Neuf),$31.99,https://aux33tours.com/collections/nouveautes/products/rs00057201-action-bronson-cocodrillo-turbo,Rap
Adrianne Lenker - Songs And Instrumentals (Vinyle Neuf),$33.99,https://aux33tours.com/collections/nouveautes/products/ln00056849-adrianne-lenker-songs-and-instrumentals,Alternatif   Relié à :  BigThief
Aerosmith - 1971: The Road Starts Hear (Vinyle Neuf),$26.99,https://aux33tours.com/collections/nouveautes/products/rs00051010-aerosmith-1971-the-road-starts-hear,Rock
Aerosmith - Pump (Vinyle Neuf),$31.99,https://aux33tours.com/collections/nouveautes/products/ln00033338-aerosmith-pump,Rock
Aesop Rock - Float (Vinyle Neuf),$32.99,https://aux33tours.com/collections/nouveautes/products/ln00056036-aesop-rock-float,Rap
Aesop Rock - Labor Days (Vinyle Neuf),$36.99,https://aux33tours.com/collections/nouveautes/products/ln00018978-aesop-rock-labor-days,Rap
Aesop Rock - Skelethon (Vinyle Neuf),$28.99,https://aux33tours.com/collections/nouveautes/products/ln00016034-aesop-rock-skelethon,Rap
Aesop Rock - Spirit World Field Guide (Vinyle Neuf),$37.99,https://aux33tours.com/collections/nouveautes/products/ln00057183-aesop-rock-spirit-world-field-guide,Rap
Aesop Rock - The Impossible Kid (Vinyle Neuf),$32.99,https://aux33tours.com/collections/nouveautes/products/ln00030816-aesop-rock-the-impossible-kid,Rap
Aesop Rock / Blockhead - Garbology (Vinyle Neuf),$32.99,https://aux33tours.com/collections/nouveautes/products/rs00050996-aesop-rock-blockhead-garbology,Rap
Al Green - Gets Next To You (Vinyle Neuf),$15.99,https://aux33tours.com/collections/nouveautes/products/ln00024501-al-green-gets-next-to-you,Funk/Soul
Alaclair Ensemble - Le Sens Des Paroles (Vinyle Neuf),$39.99,https://aux33tours.com/collections/nouveautes/products/alaclair-ensemble-le-sens-des-paroles,Rap
Alaclair Ensemble - Les Freres Cueilleurs (Vinyle Neuf),$39.99,https://aux33tours.com/collections/nouveautes/products/alaclair-ensemble-les-freres-cueilleurs,Rap
Alanis Morissette - Live At Montreux 2012 (Vinyle Neuf),$29.99,https://aux33tours.com/collections/nouveautes/products/alanis-morissette-live-at-montreux-2012,Rock
Alice Coltrane - Kirtan: Turiya Sings (Vinyle Neuf),$40.99,https://aux33tours.com/collections/nouveautes/products/ln00061513-alice-coltrane-kirtan-turiya-sings,Jazz
Amy Winehouse - Back To Black (Vinyle Neuf),$41.99,https://aux33tours.com/collections/nouveautes/products/amy-winehouse-back-to-black,Pop
Andrew Bird - Inside Problems (Indie) (Vinyle Neuf),$28.99,https://aux33tours.com/collections/nouveautes/products/rs00054613-andrew-bird-inside-problems-indie,Folk
Andrew Bird - Inside Problems (Vinyle Neuf),$28.99,https://aux33tours.com/collections/nouveautes/products/rs00054614-andrew-bird-inside-problems,Folk
Andrew Hill - Point Of Departure (Blue Note Classic) (Vinyle Neuf),$34.99,https://aux33tours.com/collections/nouveautes/products/rs00058739-andrew-hill-point-of-departure-blue-note-classic,Jazz
Andy Shauf - Wilds (Indie) (Vinyle Neuf),$26.99,https://aux33tours.com/collections/nouveautes/products/rs00050905-andy-shauf-wilds-indie,Alternatif
Angel Olsen - Big Time (Rose) (Vinyle Neuf),$31.99,https://aux33tours.com/collections/nouveautes/products/rs00054316-angel-olsen-big-time-rose,Folk
Angel Olsen - Big Time (Vinyle Neuf),$29.99,https://aux33tours.com/collections/nouveautes/products/rs00054315-angel-olsen-big-time,Folk
Anxious - Little Green House (Vinyle Neuf),$22.99,https://aux33tours.com/collections/nouveautes/products/rs00052382-anxious-little-green-house,Punk
Aphex Twin - Syro (Vinyle Neuf),$33.99,https://aux33tours.com/collections/nouveautes/products/aphex-twin-syro,Electronique
Arca - Kick I (Vinyle Neuf),$31.99,https://aux33tours.com/collections/nouveautes/products/385050-arca-kick-i,Electronique
Arca - Kick II (Vinyle Neuf),$29.99,https://aux33tours.com/collections/nouveautes/products/rs00055010-arca-kick-ii,Electronique
Arca - Kick III (Vinyle Neuf),$29.99,https://aux33tours.com/collections/nouveautes/products/rs00054454-arca-kick-iii,Electronique
Arca - Kick IIII (Vinyle Neuf),$29.99,https://aux33tours.com/collections/nouveautes/products/rs00054455-arca-kick-iiii,Electronique
Archers Of Loaf - Reason In Decline (Vinyle Neuf),$22.99,https://aux33tours.com/collections/nouveautes/products/rs00058776-archers-of-loaf-reason-in-decline,Alternatif
Aretha Franklin - Amazing Grace (Vinyle Neuf),$43.99,https://aux33tours.com/collections/nouveautes/products/ln00022664-aretha-franklin-amazing-grace,Funk/Soul
Aretha Franklin - Atlantic Singles Collection 1967 - 1970 (Vinyle Neuf),$41.99,https://aux33tours.com/collections/nouveautes/products/ln00044020-aretha-franklin-atlantic-singles-collection-1967-1970,Funk/Soul
Ariel Pinks Haunted Graffiti - Before Today (Vinyle Neuf),$25.99,https://aux33tours.com/collections/nouveautes/products/ariel-pinks-haunted-graffiti-before-today,Alternatif
