name,price,link
AC/DC - Back In Black (Vinyle Neuf),$24.99,https://aux33tours.com/collections/nouveautes/products/ac-dc-back-in-black
AC/DC - The Razors Edge (Vinyle Neuf),$24.99,https://aux33tours.com/collections/nouveautes/products/ln00001697-ac-dc-the-razors-edge
Ace Frehley - Origins: Vol 2 (Vinyle Neuf),$49.99,https://aux33tours.com/collections/nouveautes/products/rs00059459-ace-frehley-origins-vol-2
Aerosmith - Aerosmith (Vinyle Neuf),$31.99,https://aux33tours.com/collections/nouveautes/products/aerosmith-aerosmith
Aerosmith - Get Your Wings (Vinyle Neuf),$24.99,https://aux33tours.com/collections/nouveautes/products/ln00017593-aerosmith-get-your-wings
Aerosmith - Greatest Hits (Vinyle Neuf),$24.99,https://aux33tours.com/collections/nouveautes/products/ln00049350-aerosmith-greatest-hits
America - Live At Goodbye Summer 71 (Vinyle Neuf),$41.99,https://aux33tours.com/collections/nouveautes/products/rs00059460-america-live-at-goodbye-summer-71
Beach Boys - Sail On Sailor 1972 (2LP) (Vinyle Neuf),$61.99,https://aux33tours.com/collections/nouveautes/products/rs00058730-beach-boys-sail-on-sailor-1972-2lp
Beatles - A Hard Days Night (Vinyle Neuf),$32.99,https://aux33tours.com/collections/nouveautes/products/beatles-a-hard-days-night
Beatles - Rubber Soul (Stereo) (Vinyle Neuf),$43.99,https://aux33tours.com/collections/nouveautes/products/beatles-rubber-soul-stereo
Beatles - Sgt Peppers Lonely Hearts Club Band (Stereo) (Vinyle Neuf),$41.99,https://aux33tours.com/collections/nouveautes/products/beatles-sgt-peppers-lonely-hearts-club-band-stereo
Billy Idol - The Cage Ep (Indie) (Vinyle Neuf),$22.99,https://aux33tours.com/collections/nouveautes/products/rs00058729-billy-idol-the-cage-ep-indie
Billy Idol - The Cage EP (Vinyle Neuf),$22.99,https://aux33tours.com/collections/nouveautes/products/rs00058752-billy-idol-the-cage-ep
Bob Dylan - Another Side Of Bob Dylan (Vinyle Neuf),$25.99,https://aux33tours.com/collections/nouveautes/products/ln00002439-bob-dylan-another-side-of-bob-dylan
Bruce Springsteen - Only The Strong Survive (Indie) (Vinyle Neuf),$42.99,https://aux33tours.com/collections/nouveautes/products/rs00058728-bruce-springsteen-only-the-strong-survive-indie
Bruce Springsteen - Only The Strong Survive (Vinyle Neuf),$38.99,https://aux33tours.com/collections/nouveautes/products/rs00058583-bruce-springsteen-only-the-strong-survive
Cat Stevens - Catch Bull At Four (Vinyle Neuf),$36.99,https://aux33tours.com/collections/nouveautes/products/rs00058230-cat-stevens-catch-bull-at-four
David Bowie - Blackstar (Vinyle Neuf),$35.99,https://aux33tours.com/collections/nouveautes/products/ln00028730-david-bowie-blackstar
David Bowie - Legacy (Vinyle Neuf),$41.99,https://aux33tours.com/collections/nouveautes/products/ln00034191-david-bowie-legacy
David Crosby - If I Could Only Remember My Name (Vinyle Neuf),$31.99,https://aux33tours.com/collections/nouveautes/products/ln00005021-david-crosby-if-i-could-only-remember-my-name
