name,price,link
Aloise Sauvage - Sauvage (Vinyle Neuf),$36.99,https://aux33tours.com/collections/nouveautes/products/rs00058376-aloise-sauvage-sauvage
Ariane Moffatt - Petites Mains Precieuses (Vinyle Neuf),$19.99,https://aux33tours.com/collections/nouveautes/products/ln00044664-ariane-moffatt-petites-mains-precieuses
Ariane Roy - Medium Plaisir (Vinyle Neuf),$28.99,https://aux33tours.com/collections/nouveautes/products/rs00055277-ariane-roy-mdium-plaisir
Beau Dommage - Beau Dommage (Remixes) (Vinyle Neuf),$31.99,https://aux33tours.com/collections/nouveautes/products/rs00058341-beau-dommage-beau-dommage-remixes
Celine Dion - Loved Me Back To Life (Vinyle Neuf),$35.99,https://aux33tours.com/collections/nouveautes/products/ln00023679-celine-dion-loved-me-back-to-life
Celine Dion - S Il Suffisait Daimer (Vinyle Neuf),$34.99,https://aux33tours.com/collections/nouveautes/products/ln00037927-celine-dion-s-il-suffisait-daimer
Chocolat - EP (Vinyle Neuf),$19.99,https://aux33tours.com/collections/nouveautes/products/chocolat-ep
Etienne Coppee - Et On Pleurera Ensemble (Vinyle Neuf),$27.99,https://aux33tours.com/collections/nouveautes/products/rs00052522-etienne-coppee-et-on-pleurera-ensemble
Indochine - LAventurier (Vinyle Neuf),$24.99,https://aux33tours.com/collections/nouveautes/products/indochine-laventurier
Jesuslesfilles - Daniel (Vinyle Neuf),$17.99,https://aux33tours.com/collections/nouveautes/products/jesuslesfilles-daniel
Juliette Armanet - Bruler Le Feu 2 (Vinyle Neuf),$56.99,https://aux33tours.com/collections/nouveautes/products/rs00058468-juliette-armanet-bruler-le-feu-2
Karkwa - Le Volume Du Vent (Vinyle Neuf),$21.99,https://aux33tours.com/collections/nouveautes/products/ln00048022-karkwa-le-volume-du-vent
Klo Pelgag - Notre-dame-des-sept-douleurs (Vinyle Neuf),$25.99,https://aux33tours.com/collections/nouveautes/products/339864-klo-pelgag-notre-dame-des-sept-douleurs
Les Colocs - Les Colocs (Vinyle Noir) (Vinyle Neuf),$24.99,https://aux33tours.com/collections/nouveautes/products/ln00041127-les-colocs-les-colocs-vinyle-noir
Louis-Jean Cormier - Les Grandes Arteres (Vinyle Neuf),$27.99,https://aux33tours.com/collections/nouveautes/products/ln00026259-louis-jean-cormier-les-grandes-arteres
Louise Attaque - Louise Attaque (25eme anniversaire) (Vinyle Neuf),$56.99,https://aux33tours.com/collections/nouveautes/products/rs00054296-louise-attaque-louise-attaque-25eme-anniversaire
Luc De Larochelliere - Sauvez Mon Ame (Vinyle Neuf),$25.99,https://aux33tours.com/collections/nouveautes/products/rs00051495-luc-de-larochelliere-sauvez-mon-ame
Mononc Serge - Ca C Est De La Femme (Vinyle Neuf),$27.99,https://aux33tours.com/collections/nouveautes/products/rs00059606-mononc-serge-ca-c-est-de-la-femme
Mononc Serge - L An 8000 (Vinyle Neuf),$24.99,https://aux33tours.com/collections/nouveautes/products/rs00054107-mononc-serge-l-an-8000
Mononc Serge - Serge Blanc D Amerique (Vinyle Neuf),$27.99,https://aux33tours.com/collections/nouveautes/products/rs00059607-mononc-serge-serge-blanc-d-amerique
Mylene Farmer - En Concert (Vinyle Neuf),$41.99,https://aux33tours.com/collections/nouveautes/products/ln00045580-mylene-farmer-en-concert
Pierre Lapointe - Chansons Hivernales (Vinyle Neuf),$21.99,https://aux33tours.com/collections/nouveautes/products/rs00058284-pierre-lapointe-chansons-hivernales
Pierre Lapointe - Ton Corps Est Deja Froid (Vinyle Neuf),$24.99,https://aux33tours.com/collections/nouveautes/products/pierre-lapointe-ton-corps-est-deja-froid
Ptit Belliveau - Greatest Hits Vol 1 (Vinyle Neuf),$18.99,https://aux33tours.com/collections/nouveautes/products/ln00054578-ptit-belliveau-greatest-hits-vol-1
Salome Leclerc - Mille Ouvrages Mon Coeur (Vinyle Neuf),$19.99,https://aux33tours.com/collections/nouveautes/products/rs00050539-salome-leclerc-mille-ouvrages-mon-coeur
