name,price,link
Acacia Strain - Wormwood (Vinyle Neuf),$27.99,https://aux33tours.com/collections/nouveautes/products/ln00049712-acacia-strain-wormwood
Apparition - Feel (Vinyle Neuf),$25.99,https://aux33tours.com/collections/nouveautes/products/rs00050826-apparition-feel
Beneath The Massacre - Fearmonger (Vinyle Neuf),$27.99,https://aux33tours.com/collections/nouveautes/products/beneath-the-massacre-fearmonger
Beneath The Massacre - Mechanics Of Dysfunction (Vinyle Neuf),$27.99,https://aux33tours.com/collections/nouveautes/products/rs00041019-beneath-the-massacre-mechanics-of-dysfunction
Black Sabbath - Vol 4 (Super Deluxe) (5LP) (Vinyle Neuf),$129.99,https://aux33tours.com/collections/nouveautes/products/ln00059042-black-sabbath-vol-4-super-deluxe-5lp
Blut Aus Nord - Memoria Vetusta I: Fathers Of The Icy Age (Vinyle Neuf),$31.99,https://aux33tours.com/collections/nouveautes/products/ln00030751-blut-aus-nord-memoria-vetusta-i-fathers-of-the-icy-age
Bog Body - Cryonic Crevasse Cult (Vinyle Neuf),$26.99,https://aux33tours.com/collections/nouveautes/products/rs00054150-bog-body-cryonic-crevasse-cult
Borknagar - Borknagar (Vinyle Neuf),$42.99,https://aux33tours.com/collections/nouveautes/products/332510-borknagar-borknagar
Bring Me the Horizon - Sempiternal (Vinyle Neuf),$27.99,https://aux33tours.com/collections/nouveautes/products/ln00017681-bring-me-the-horizon-sempiternal
Cannibal Corpse - Eaten Back to Life (Vinyle Neuf),$32.99,https://aux33tours.com/collections/nouveautes/products/ln00029794-cannibal-corpse-eaten-back-to-life
Carcass - Despicable (Vinyle Neuf),$25.99,https://aux33tours.com/collections/nouveautes/products/ln00058292-carcass-despicable
Carrion Bloom - Sacrements Of Pestilence (Vinyle Neuf),$27.99,https://aux33tours.com/collections/nouveautes/products/rs00059563-carrion-bloom-sacrements-of-pestilence
Cosmic Putrefaction - Crepuscular Dirge For The Blessed Ones (Vinyle Neuf),$26.99,https://aux33tours.com/collections/nouveautes/products/rs00055410-cosmic-putrefaction-crepuscular-dirge-for-the-blessed-ones
Deadbody - The Requiem (Vinyle Neuf),$35.99,https://aux33tours.com/collections/nouveautes/products/rs00059567-deadbody-the-requiem
Employed To Serve - Conquering (Vinyle Neuf),$51.99,https://aux33tours.com/collections/nouveautes/products/rs00059565-employed-to-serve-conquering
End - Splinters From An Ever-Changing Face (Vinyle Neuf),$35.99,https://aux33tours.com/collections/nouveautes/products/ln00054930-end-splinters-from-an-ever-changing-face
Full Of Hell - Roots Of Earth / Rudiments of Mutilation (Vinyle Neuf),$41.99,https://aux33tours.com/collections/nouveautes/products/rs00059566-full-of-hell-roots-of-earth-rudiments-of-mutilation
Gatecreeper - Sonoran Deprivation (Vinyle Neuf),$24.99,https://aux33tours.com/collections/nouveautes/products/gatecreeper-sonoran-deprivation
Ghost BC - Meliora (Vinyle Neuf),$24.99,https://aux33tours.com/collections/nouveautes/products/ghost-bc-meliora
Green Lung - Free The Witch (Vinyle Neuf),$46.99,https://aux33tours.com/collections/nouveautes/products/rs00043654-green-lung-free-the-witch
Guns N Roses - Use Your Illusion (Super Deluxe) (Vinyle Neuf),$516.99,https://aux33tours.com/collections/nouveautes/products/rs00058226-guns-n-roses-use-your-illusion-super-dlx-lp-box-12lp180gbluraybook
Guns N Roses - Use Your Illusion I (Vinyle Neuf),$47.99,https://aux33tours.com/collections/nouveautes/products/ln00003723-guns-n-roses-use-your-illusion-i
