name,price,link
Alabama Shakes - Sound and Color (Vinyle Neuf),$35.99,https://aux33tours.com/collections/nouveautes/products/alabama-shakes-sound-and-color
Arcade Fire - Reflektor (Vinyle Neuf),$36.99,https://aux33tours.com/collections/nouveautes/products/arcade-fire-reflektor
Arcade Fire - The Suburbs (Vinyle Neuf),$34.99,https://aux33tours.com/collections/nouveautes/products/ln00007058-arcade-fire-the-suburbs
Ariel Pink - Odditties Sodomies Vol 3 (Vinyle Neuf),$24.99,https://aux33tours.com/collections/nouveautes/products/rs00046946-ariel-pink-odditties-sodomies-vol-3
Battles - Mirrored (Vinyle Neuf),$35.99,https://aux33tours.com/collections/nouveautes/products/ln00029857-battles-mirrored
Beck - Colors (Red Vinyl) (Vinyle Neuf),$26.99,https://aux33tours.com/collections/nouveautes/products/ln00038436-beck-colors-red-vinyl
Beck - Odelay (Vinyle Neuf),$25.99,https://aux33tours.com/collections/nouveautes/products/ln00033665-beck-odelay
Bedouin Soundclash - We Will Meet In A Hurricane (Vinyle Neuf),$27.99,https://aux33tours.com/collections/nouveautes/products/rs00058699-bedouin-soundclash-we-will-meet-in-a-hurricane
Belle and Sebastian - If Youre Feeling Sinister (Vinyle Neuf),$28.99,https://aux33tours.com/collections/nouveautes/products/ln00011309-belle-and-sebastian-if-youre-feeling-sinister
Belle and Sebastian - The Boy With the Arab Strap (Vinyle Neuf),$26.99,https://aux33tours.com/collections/nouveautes/products/ln00011310-belle-and-sebastian-the-boy-with-the-arab-strap
Big Thief - Two Hands (Vinyle Neuf),$28.99,https://aux33tours.com/collections/nouveautes/products/big-thief-two-hands
Black Lips - Good Bad Not Evil (Deluxe) (Vinyle Neuf),$48.99,https://aux33tours.com/collections/nouveautes/products/rs00059235-black-lips-good-bad-not-evil-deluxe
Bright Eyes - Digital Ash In A Digital Urn: A Companion EP (Vinyle Neuf),$22.99,https://aux33tours.com/collections/nouveautes/products/rs00057064-bright-eyes-digital-ash-in-a-digital-urn-a-companion-ep
Bright Eyes - Im Wide Awake Its Morning: A Companion EP (Vinyle Neuf),$22.99,https://aux33tours.com/collections/nouveautes/products/rs00057046-bright-eyes-im-wide-awake-its-morning-a-companion-ep
Bright Eyes - Lifted Or The Story Is In The Soil Keep Your Ear To The Ground: A Companion EP (Vinyle Neuf),$22.99,https://aux33tours.com/collections/nouveautes/products/rs00057065-bright-eyes-lifted-or-the-story-is-in-the-soil-keep-your-ear-to-the-ground-a-companion-ep
Broken Social Scene - Old Dead Young: B-sides And Rarities (Vinyle Neuf),$34.99,https://aux33tours.com/collections/nouveautes/products/rs00059444-broken-social-scene-old-dead-young-b-sides-and-rarities
Cage The Elephant - Cage The Elephant (Vinyle Neuf),$26.99,https://aux33tours.com/collections/nouveautes/products/ln00037747-cage-the-elephant-cage-the-elephant
Cake - Fashion Nugget (Vinyle Neuf),$27.99,https://aux33tours.com/collections/nouveautes/products/rs00055416-cake-fashion-nugget
Christine And The Queens - Redcar Les Adorables Etoiles (Vinyle Neuf),$41.99,https://aux33tours.com/collections/nouveautes/products/rs00057506-christine-and-the-queens-redcar-les-adorables-etoiles
