name,price,link
7 Seconds - The Crew (Vinyle Neuf),$34.99,https://aux33tours.com/collections/nouveautes/products/ln00015682-7-seconds-the-crew
Alexisonfire - Crisis (Vinyle Neuf),$25.99,https://aux33tours.com/collections/nouveautes/products/ln00022780-alexisonfire-crisis
Bad Brains - Bad Brains (Vinyle Neuf),$32.99,https://aux33tours.com/collections/nouveautes/products/ln00001311-bad-brains-bad-brains
Black Halos - How The Darkness Doubled (Vinyle Neuf),$21.99,https://aux33tours.com/collections/nouveautes/products/rs00058936-black-halos-how-the-darkness-doubled
Bruisers - Bruisers Singles Collection 1989-1997 (Vinyle Neuf),$31.99,https://aux33tours.com/collections/nouveautes/products/ln00060883-bruisers-bruisers-singles-collection-1989-1997
Cramps - All Aboard The Drug Train (Vinyle Neuf),$33.99,https://aux33tours.com/collections/nouveautes/products/rs00056182-cramps-all-aboard-the-drug-train
Dead Cross - Dead Cross EP (Vinyle Neuf),$14.99,https://aux33tours.com/collections/nouveautes/products/ln00042536-dead-cross-dead-cross-ep
Dead Cross - II (Vinyle Neuf),$31.99,https://aux33tours.com/collections/nouveautes/products/rs00058151-dead-cross-ii
Dead Moon - What A Way To See The Old Girl Go (Vinyle Neuf),$23.99,https://aux33tours.com/collections/nouveautes/products/rs00052621-dead-moon-what-a-way-to-see-the-old-girl-go
DRI - Thrash Zone (Vinyle Neuf),$31.99,https://aux33tours.com/collections/nouveautes/products/rs00048749-dri-thrash-zone
Dropkick Murphys - This Machine Still Kills Fascists (Vinyle Neuf),$31.99,https://aux33tours.com/collections/nouveautes/products/rs00056018-dropkick-murphys-this-machine-still-kills-fascists
Fucked Up - Hidden World (Vinyle Neuf),$37.99,https://aux33tours.com/collections/nouveautes/products/ln00028161-fucked-up-hidden-world
Fugazi - Repeater (Vinyle Neuf),$25.99,https://aux33tours.com/collections/nouveautes/products/ln00000459-fugazi-repeater
G-Anx / Filthy Christians - G-Anx / Filthy Christians (Vinyle Neuf),$13.99,https://aux33tours.com/collections/nouveautes/products/rs00059572-g-anx-filthy-christians-g-anx-filthy-christians
Ghost Car - Truly Trash (Vinyle Neuf),$35.99,https://aux33tours.com/collections/nouveautes/products/rs00058164-ghost-car-truly-trash
Hated - Best Piece Of Shit Vol 4 (Vinyle Neuf),$32.99,https://aux33tours.com/collections/nouveautes/products/rs00059370-hated-best-piece-of-shit-vol-4
Idles - A Beautiful Thing: Idles Live At Le Bataclan (Vinyle Neuf),$37.99,https://aux33tours.com/collections/nouveautes/products/ln00053175-idles-a-beautiful-thing-idles-live-at-le-bataclan
Me First And The Gimme Gimmes - Love Their Country (Vinyle Neuf),$25.99,https://aux33tours.com/collections/nouveautes/products/ln00037053-me-first-and-the-gimme-gimmes-love-their-country
Melvins - The Bride Screamed Murder (Vinyle Neuf),$27.99,https://aux33tours.com/collections/nouveautes/products/ln00061199-melvins-the-bride-screamed-murder
OFF! - Free Lsd (Vinyle Neuf),$36.99,https://aux33tours.com/collections/nouveautes/products/rs00057497-off-free-lsd
Offspring - Smash (Vinyle Neuf),$29.99,https://aux33tours.com/collections/nouveautes/products/ln00004014-offspring-smash
Paranoid - Satyagraha (Vinyle Neuf),$18.99,https://aux33tours.com/collections/nouveautes/products/ln00031382-paranoid-satyagraha
Pup - Morbid Stuff (Vinyle Neuf),$26.99,https://aux33tours.com/collections/nouveautes/products/ln00048093-pup-morbid-stuff
Scowl - How Flowers Grow (Vinyle Neuf),$36.99,https://aux33tours.com/collections/nouveautes/products/rs00059569-scowl-how-flowers-grow
Terror - Pain Into Power (Vinyle Neuf),$27.99,https://aux33tours.com/collections/nouveautes/products/rs00054346-terror-pain-into-power
Wolfbrigade - Anti-Tank Dogs (Vinyle Neuf),$16.99,https://aux33tours.com/collections/nouveautes/products/rs00059571-wolfbrigade-anti-tank-dogs
Zulu - My People Hold On / Our Day Will Come (Vinyle Neuf),$36.99,https://aux33tours.com/collections/nouveautes/products/rs00059562-zulu-my-people-hold-on-our-day-will-come
